id,pos_id,word,ja
165,1,anoint,（聖別のしるしに）（頭などに）聖油を塗る. （国王･司祭などを）聖別する. anoint a person king人を王に選ぶ. 油を塗る. （化粧などのため）塗る. すり込む
166,2,anomalous,異常な. 変則の. 例外的な
167,3,anonymously,匿名で
168,0,anorexia,神経性無食欲症. 青春期やせ症. 拒食症
169,0,anorexic,拒食症の 
170,2,answering,応答 
171,1,antagonize,敵にまわす. 反対する
172,0,antecedent,先行詞. 先だつ
173,0,antelope,レイヨウ. アンテロープ（主にアジア･アフリカ産）. そのなめし革
174,2,anthropological,人類学（上）の
175,0,antibacterial,抗菌 
176,2,anticancer,抗がん物質 
177,0,antidote,解毒剤. 対策. 矯正手段
178,2,antipodean,（にとって）対蹠地の. （と）正反対の（to）
179,2,antiquated,古めかしい
180,2,antisocial,社交ぎらいの
181,0,antithesis,正反対. 対照（法）. アンチテーゼ
182,0,anus,肛門 
183,0,anvil,金床（かなとこ）
184,3,anxiously,切望して
185,3,anyplace,どこでも 
186,2,aortic,大動脈の 
187,0,apathy,無感動. 感情鈍麻. 無関心. 冷淡
188,0,aphid,アブラムシ
189,3,apiece,一つにつき
190,2,apologetic,わびて. 謝って　
191,1,apologise,謝る. （米-ze）
192,0,apologist,弁証家. 弁明者. 擁護者. 弁解者. 言い訳がましい人
193,0,apostrophe,アポストロフィ（省略符号などと訳す）
194,0,apparition,幽霊. 幻影. 2. 出現. 見えてくること. 思いがけなく現われる人
195,0,appearing,登場 
196,2,appellate,上訴（控訴･上告）の. 上訴（控訴･上告）を処理する
197,0,appellation,名称. 呼称. 称号
198,1,append,添える
199,0,appendage,添加物. 付加物
200,0,appetizer,食前酒
201,2,appreciable,感知されるほどの. かなりの
202,3,appreciably,認め得るほどに. かなり
203,2,appreciative,鑑賞眼のある. 感謝する
204,2,apprehended,逮捕された 
205,0,apprehension,気づかい. 不安. 理解. 逮捕
206,0,apprentice,年季奉公人. 見習生. 徒弟. 実習生
207,0,appropriateness,妥当性 
208,0,apricot,アンズ. アプリコット. アンズ色
209,0,apron,エプロン
210,0,aptitude,適性. 才能. 素質
211,3,aptly,適切に
212,0,aqua,水
213,0,aqueduct,水路. 水道橋
214,0,arbiter,（運命などの）決定者. （趣味･作法などの）権威者. 調停者
215,0,arbitration,仲裁. 調停
216,2,archetypal,原型的な. 典型的な
217,0,archetype,原型. 典型
218,0,archipelago,多島海. 群島
219,2,archival,記録文書の. 古文書の. 記録保管所の. 古文書保管所の
220,2,ardent,情熱的な. 熱心な. 熱烈な. 燃えている. 燃えるように輝く
221,2,arduous,骨の折れる. 困難な. 根気強い
222,2,arid,乾燥した. 不毛の. 異常に乾燥した
223,0,armadillo,アルマジロ
224,0,armchair,ひじ掛け椅子. ひじかけいす. 机上空論の
225,0,arming,武装 
226,2,armored,装甲した. 装甲の
227,0,armpit,腋窩. 脇の下. いやな場所. （Armpit hair脇毛）
228,2,arrayed,配列された 
229,0,arrhythmia,不整脈 
230,0,arse,"尻. 肛門. ばか. 2. ぶらぶら時を過ごす（around,about）"
231,0,arson,放火（犯）
232,2,artful,巧妙な. ずるい. 人工の. 人為的な
233,3,artfully,巧妙に
234,0,arthropod,節足動物 
235,0,artichoke,朝鮮アザミ. アーティチョーク（食用）
236,2,articular,関節の 
237,0,artifice,技術. 技巧. 工夫. 考案. 策略. ずるさ. 手管. 術策
238,3,artistically,美術的に. 芸術的に見れば
239,0,artistry,芸術性
240,2,arty,芸術家ぶった（気取りの）. 芸術品まがいの. こりすぎた
241,0,ascendancy,主導権. 優勢
242,0,ascension,上昇. 即位
243,2,ascertained,確認された 
244,3,ashore,岸に. 浜に. 陸上に
245,0,asparagus,アスパラガス
246,1,assail,激しく非難する. 激しく攻撃する. 襲う. 強い影響を与える
247,0,assailant,攻撃者
248,0,assemblage,（仏語）隣接物件のまとめ買い. 一括遺物. アッサンブラージュ. 寄せ集め構成（の抽象画）. 寄せ集め作品
249,2,assertive,断定的な. 独断的な
250,3,assiduously,熱心に 
251,1,assimilate,消化する. 同化する. 吸収する. 類似させる. 似せる. 似てくる
252,0,assimilation,同化
253,1,assuage,和らげる. 緩和する. 鎮める. 静める
254,0,asterisk,星印
255,2,asteroid,小惑星（火星と木星の間などに散在する）. （形容詞）星状の.  2. （動物）ヒトデ
256,0,asthmatic,喘息の（患者）
257,3,astonishingly,驚くほど 
258,2,astounded,仰天する 
259,3,astray,邪道に入って. 迷って. 迷っている
260,0,astrology,占星術
261,2,astute,機敏な. 抜け目のない. ずるい. 目先がきく
262,2,asymmetrical,非対称の 
263,0,asymmetry,非対称
264,1,atone,償う. あがなう. 罪滅ぼしをする
265,0,atonement,償い
266,0,atrium,アトリウム. 心房. 房（ｃｆ. ventricle心室）
267,2,atrocious,残虐な. 極悪な. たちの悪い. ひどい. 不愉快な
268,0,atrophy,衰退. （栄養不足などによる）萎縮症. 委縮する
269,2,attempted,企てた. 未遂の. 未遂
270,1,attenuate,やせさせる. 細くする. 薄める. 和らげる. 弱める. 減ずる
271,0,attenuation,減衰 
272,2,attested,証言 
273,0,attire,に盛装させる. 衣装
274,0,attractiveness,魅力的であること
275,0,attractor,ひきつける人･物
276,0,attribution,帰属. 属性. 権能
277,0,attrition,摩耗. 摩擦. 消耗. 摩滅
278,2,audacious,大胆な. （法律などを）軽視した
279,0,audacity,大胆不敵. boldness. 厚かましさ
280,2,audible,聞こえる
281,0,auntie,（幼児語）おばちゃん
282,0,austerity,緊縮財政. 厳しさ. 耐乏. 緊縮. 質素
283,0,auteur,（監督こそ映画製作の主人公だとする立場の）映画監督
284,0,authorship,著述業
285,0,autism,自閉症
286,2,autistic,自閉症の
287,2,autobiographical,自叙伝の 
288,2,autocratic,独裁の
289,0,autopilot,自動操縦装置
290,0,auxiliary,補助の. 予備の. 補助的な
291,1,avail,価値がある. 効能. 効用. 役に立つ
292,0,avatar,権化. 化身. 具体化
293,1,avenge,あだを討つ. 復讐する
294,2,averse,反対して. 嫌って
295,2,avian,鳥類の. 鳥
296,0,avocado,アボカド
297,0,awakening,目覚め
298,2,awash,あふれて. 波に洗われて
299,2,awed,恐れおののいた 
300,3,awkwardly,ぎこちなく. 気まずく. 怪しい手つきで. 不自然に. 変に. 不適切に
301,0,awkwardness,不器用さ. ぎこちなさ. 気まずさ
302,2,awry,間違って. 片方に曲がって. 斜めに. 正道からそれて
303,2,axial,軸の（ような）. 軸の方向の
304,0,ayatollah,アヤトラ. イスラム教シーア派の高僧の尊称
305,0,azalea,ツツジ. アザレア. サツキ
306,0,baba,ラム酒入りケーキ
307,0,backseat,（俗）目立たない立場
308,0,backstage,舞台裏（の）
309,1,badger,しつこく苦しめる. 悩ます. アナグマ. アナグマの毛皮
310,1,baffle,まごつかせる. 挫折. 調節板. 挫折させる. 迷わせる. くじく
311,2,baffling,不可解 
312,2,baggy,だぶだぶの. （baggie食料保存袋. buggyバギー）
313,0,balancing,バランス 
314,0,ballerina,（イタリア語）バレリーナ. バレエの女性踊り手
315,0,ballgame,野球の試合 
316,2,ballistic,弾道（学）の. 衝撃の
317,0,ballplayer,野球選手 
318,2,balmy,さわやかな. 芳香の. 香りの良い. 快い
319,0,baloney,たわごと. ばかげたこと
320,0,banality,陳腐さ. ありふれていること
321,0,bandage,包体. 包帯
322,0,bandit,山賊
323,0,bandwagon,楽隊車. 人気のあるグループ. 馬が引っ張って動かす大きな楽隊車のこと. 時流
324,0,banjo,バンジョー（弦楽器）
325,0,banquette,バンケット. 乗客席. 棚. 壁際の長椅子. 歩道
326,0,baptism,洗礼
327,2,barbaric,野蛮人の
328,2,barbecued,バーベキューした 
329,0,bard,詩人. 吟唱詩人. 中世の馬よろい
330,0,baritone,バリトン（歌手）. 男声中音. （次の順に高くなる. bass. baritone. tenor. alto（女声）. treble（女声soprano）
331,0,barker,ほえる動物. どなる人. 客引き. ピストル
332,0,barley,大麦
333,0,barometer,気圧計. 晴雨計. バロメーター. 指標. 兆候
334,0,barrage,連続. 連打. 連発
335,0,barricade,妨害するもの. 障害物. バリケード（を築く･で囲む）. 戦場
336,0,barter,物々交換する. 物々交換
337,1,bask,恵まれる. 幸せな境遇にある. 暖まる. 浴する. 日なたぼっこをする
338,0,bassist,コントラバス奏者. バス歌手
339,0,bastille,牢獄. 小さい砦. 防御塔
340,1,bate,減らす. 弱める. 取り去る. 鈍らせる. 激怒する. 逃げようとする. （cf. bate激怒. bait疑似餌）
341,0,bathrobe,バスローブ
342,0,batik,ろうけつ染め
343,0,baton,バトン. 警棒. （Baton Twirlingバトントワリング）. （cf. button. ボタン）
344,0,battleground,戦場
345,2,batty,頭の変な
346,0,beachfront,ビーチフロント. 浜辺沿いの
347,0,beak,（肉食鳥の）くちばし（=bill. beak. pecker. nib. neb）. 2. （水差しの）飲み口. （カメなどの）口先
348,2,beaming,光り輝く. 喜びに満ちた. 陽気な. 
349,0,beanie,ビーニー（帽）. ベレー. スキー帽
350,2,bearded,あごひげを生やした. かぎのついた
351,0,bearer,運搬人. 使者. （手形などの）持参人. 実のなる植物
352,0,beau,しゃれ男. 婦人の相手役（付き添い）となる男
353,1,beckon,手招きする. （身振りで）招く. 差し招く
354,0,bedfellow,政治的同士. 仲間
355,0,bedrock,床岩. 根底. 根本. 基礎的事実
356,0,beet,ビート. 砂糖大根. テンサイ
357,1,befall,に起こる. 降り掛かる
358,1,befit,に適する. ふさわしい. 似合う
359,1,befriend,友人になる. の味方となる. の世話をする. 助ける
360,1,befuddle,混乱させる. 泥酔させる
361,1,beget,こしらえる. 生じさせる. きたす
362,0,beggar,物もらい. 乞食こじき. 悪漢
363,0,beginner,初心者
364,1,begrudge,出し渋る
365,1,beguile,欺く. だます
366,2,beheaded,斬首 
367,0,behest,命令. 依頼
368,2,beholden,恩義を受けて. 世話になって
369,3,belatedly,（手紙･報告書など）遅れて到着した. 時代遅れの. おそすぎた
370,1,belittle,けなす. 価値を下げる
371,2,belligerent,好戦的な. けんか腰の. けんか好きの. 交戦中の. 交戦国
372,0,bellows,じゃばら. ふいご
373,1,bemoan,を悲しむ. 嘆く
374,2,bemused,困惑した 
375,0,benedict,独身時代の長かった新婚男性
376,0,benefactor,恩人. 恩恵を施す人. 保護者. 後援者
377,2,benevolent,慈悲深い
378,0,benzodiazepine,ベンゾジアゼピン. 向精神薬. BZDと略される
379,0,bequest,遺贈. 遺産. 伝わったもの. 遺贈物. 形見
380,2,bereft,bereaveの過去･過去分詞形. 失わせた
381,0,beret,ベレー帽
382,0,berg,氷山
383,0,berth,停泊所. 寝台. 段ベッド. 宿. 停泊位置
384,1,beset,包囲する. 取り巻く
385,1,besiege,包囲攻撃する. 包囲する. 殺到する. 悩ませる
386,0,bestseller,ベストセラー
387,2,betting,賭け 
388,0,bewilderment,当惑
389,0,bicarbonate,重炭酸塩
390,0,biceps,2頭筋. 二頭筋. 筋力. 筋肉のたくましさ
391,0,bickering,論争 
392,0,bicycling,自転車 
393,2,biennial,2年ごとの. 2年に一度の. 2年間続く. 2年に1度の. 二年生
394,0,bigot,頑固者. （人種･宗教などに）偏見を持つ人. 偽善者
395,0,bikini,ビキニ（水着）. ビキニ環礁（1946年から米国が核実験を行った）
396,2,biliary,胆管. 胆汁. 胆管の
397,0,bimbo,（見かけはいいが）頭の弱い･身持ちの悪い女. オシャレと男性にのみしか関心がない女性
398,0,binoculars,双眼鏡
399,0,biochemistry,生化学. 生理化学. 生物化学
400,0,biodiversity,生物の多様性
401,2,biologic,生物学（上）の. 生物学的な. 血がつながった. 実の
402,0,biomass,"生物量. バイオマス. 生態学で,特定の時点のある空間に存在する生物（bio-）の量を,質量あるいはエネルギー量で数値化したもの"
403,0,bioscience,バイオサイエンス 
404,0,biscuit,ビスケット. 小型食パン
405,0,bison,バイソン. アメリカ野牛. （cf. buffalo）
406,0,bistro,"ビストロ（小レストラン,居酒屋,仏語）"
407,2,bitchy,うるさい女
408,2,bittersweet,ほろ苦い（さ）. 楽しくてつらい
409,0,biz,ビジネス
410,0,blackberry,クロイチゴ. 黒イチゴ
411,0,blackboard,黒板
412,1,blacken,黒くなる. 汚す
413,0,blackness,黒度. 黒いこと. 黒さ. 暗黒. 凶悪. 肚黒さ. 陰険. 陰鬱. 険悪
414,0,blanc,（仏語）ブラン. 白い
415,1,blare,鳴り響く. 耳障りな響き
416,0,blasphemy,不敬. 冒涜
417,0,blastoderm,胚盤葉 
418,3,blatantly,露骨に 
419,1,blather,ばかげたことを言う
420,0,blazer,ブレザーコート
421,2,bleached,漂白した 
422,0,bleachers,観覧席 
423,0,bleep,ピーという音
424,2,blessed,恵まれた. 神聖な
425,0,blight,障害. （植物を）枯らす. 虫害. 害虫. 破滅の原因. 荒廃. 胴枯れ病. 焼き枯れ病
426,0,blindfold,に目隔しをする. 目隠し（の布）. 目隠しする. 欺く. 目隠しをして. がむしゃらな（に）
427,3,blindly,盲目的に
428,0,blindness,盲目
429,0,blip,レーダーに映るシグナル. （不隠当な発言を妨害する）中断音
430,3,blissfully,穏やかに 
431,2,blithe,（blάɪθ）（のんきな. 陽気な. 楽しげな. 心の浮き立つ. 軽率な. 不注意な
432,3,blithely,朗かな. 快活な. 陽気な. きさくな. のんきな
433,0,blitz,電撃戦. 電撃的猛攻撃
434,0,bloat,ふくれさせる. ふくれる. 慢心する
435,0,blob,斑点. しみ. 球状の小さな塊. インクなどのしみ. （cf. blot. stain）
436,0,blockage,障害物
437,0,blog,ブログ
438,2,bloodless,血の気のない. 無血の
439,0,bloodshed,流血
440,0,bloodstream,血液循環
441,0,blower,送風機
442,0,bludgeon,こん棒（でなぐる）
443,0,bluegrass,スズメノカタビラ属（牧草）. カントリーミュージック
444,0,blunder,不注意な失敗. 大失敗（する）. つまずく. やり損なう
445,3,bluntly,無作法に. ぶっきらぼうに. 無下に
446,2,blurry,しみだらけの. ぼやけた
447,1,blurt,口を滑らす. うっかり口に出す
448,0,bluster,怒号. 荒れ狂う. 猛り狂う. どなりちらす
449,0,boar,（去勢しない）雄豚. 雄豚の肉. イノシシの肉. （cf. boar野豚. bore産んだ･掘る. boaヘビ）
450,0,boardroom,役員室
451,0,boardwalk,海岸にある板張りの散歩道
452,0,boater,ボートに乗る人. かんかん帽
453,1,bog,沼にはまる. 沼地. 沼
454,2,boisterous,荒れている. がさつな. 騒々しい. 乱暴な
455,0,boldface,ボールド体 
456,3,boldly,大胆に. 太く
457,0,bolus,大きい丸薬（動物用）
458,0,bombshell,爆弾. 砲弾. 突発事件
459,0,bonanza,大当たり. 幸運. 大儲け. 活況を呈していること. 2. （鉱山中の）富鉱帯
460,0,bonbon,（仏語）ボンボン. 糖菓. 顔に当てるスポット照明. 砂糖菓子の一種
461,0,bondage,束縛. とらわれの身. 奴隷の身分
462,0,bonfire,焚火
463,0,bong,ボーン. 鐘の音. ゴーン（と鳴る）
464,1,bonk,軽く打つ
465,0,bonnet,婦人用の帽子. ボンネット
466,2,bony,骨の（ような）. 骨ばった
467,0,booby,田舎者. まぬけ（pl. boobies. ぱいぱい）
468,0,bookcase,本箱
469,0,booker,ブッカー（=booking agent） 
470,2,bookish,本好きの
471,0,bookkeeping,簿記
472,0,bookman,読書家. 文人. 学者. 本屋. 出版屋
473,0,bookmark,しおり
474,0,bookseller,本屋
475,0,bookshelf,書棚. 本棚. （個人の）蔵書
476,1,boondoggle,革の編みひも. 手細工品. 無用な仕事（をする）
477,2,booted,起動された. 蹴られた
478,0,booty,盗品. 戦利品. 略奪品
479,2,bored,（人が）退屈している
480,0,borrower,借手
481,0,bosom,胸. 内部. 胸部. 胸中. 胸裏ふところ. 
482,2,bossy,親分風をふかせる. いばりちらす
483,0,bot,検索ロボット. 借りる. たかる
484,0,bottleneck,"ネック, 問題点"
485,0,bottler,瓶詰め業者 
486,2,bottomless,底抜けの
487,0,bourgeoisie,（仏語）ブルジョアジー. 市民階級. 中産階級
488,0,bourne,（=bourn）細流. 小川. （cf. stream. brook. creek. bourne） 
489,0,bowler,ボウリングをする人. （cf. borer穴を明ける人）
490,2,boxed,箱入りの 
491,0,boxing,ボクシング
492,0,boyhood,少年時代
493,2,boyish,男の子らしい
494,0,bracken,わらび
495,1,brag,自慢する. 大げさに言い立てる. ほめちぎる. 自慢
496,0,bragging,＜brag. 自慢する. 大言壮語する
497,0,brainchild,発明物. 頭脳の産物. 独創的な考え･案
498,0,brainstorm,突然思い浮かぶ妙案（インスピレーション）. ブレインストーム
499,2,brainy,頭のいい
500,0,bramble,イバラ（植物）
501,0,bran,ぬか. ふすま
502,2,branded,ブランド 
503,1,brandish,振りまわす. 大げさに示す
504,2,brash,せっかちな. 見下した. 怒りっぽい. 軽率な. 生意気な
505,0,bravado,空威張り. からいばり
506,3,bravely,勇敢に
507,0,bravery,勇敢. 勇気
508,0,bravura,（音楽･劇で）大胆で華麗な（演奏（演技. 演出））
509,0,brawl,乱闘. 喧嘩. 騒ぎ. 口論する. どなりたてる. （衆目の中での）騒々しいけんか･口論
510,1,bray,けたたましい音
511,2,brazen,真鍮の. 堅い. 耳ざわりな. ずうずうしい
512,0,breakage,破損
513,0,breather,一息つく
514,3,breathlessly,息を切らして
515,2,breezy,そよ風の吹く. 快活な
516,0,brevity,簡潔さ. （時間などの）短さ
517,0,brewery,ビール醸造所. 醸造所
518,0,brewing,醸造 
519,2,bridal,花嫁の
520,0,bridesmaid,花嫁の付き添い. 花嫁の付き人. 花嫁付添いの若い女性
521,0,briefcase,ブリーフケース
522,0,brightness,ブライトネス. 輝度. 快活さ. 輝き. 晴れやかさ. 利発
523,0,brisket,"ブリスケット（brisket）. 主に牛の肉の前肢の内側の肩バラ肉で,ブリスケと略される. 肉質はやや堅く,バラより脂肪分は少なく淡白といわれる"
524,3,briskly,きびきびと. 活発に
525,2,brittle,壊れやすい. 堅いがもろい. 傷つきやすい. 砕けやすい
526,2,broached,broach（口を切る. 話し出す）の過去. 過去分詞形
527,0,brocade,にしき
528,1,broil,焼ける. 焼く
529,0,broiler,ブロイラー. 若鶏
530,2,broken,慣らされた. 衰えた. 変則の. breakの過去分詞. 
531,2,bronchial,気管支の
532,0,brooch,"ブローチ. （broach. 錐,キリは別語）"
533,2,broody,（brúːdi）巣につきたがっている（a broody hen）. むっつり考え込んだ. 不機嫌な
534,0,brouhaha,（brúːhɑːhὰː）. 世論の沸騰. 大騒ぎ
535,0,browning,褐色化 
536,0,browsing,情報を閲覧すること. ブラウザーを使用してウェブページを閲覧すること
537,0,bruin,（童話などで）クマ. （呼びかけで）クマ公
538,2,bruising,熾烈な 
539,0,brunette,（女）ブルネットの
540,0,brunt,攻撃のほこ先. 鋒先
541,0,brute,けだもの. 獣. 畜生. 獣ような. 動物の. 獣的な. 野蛮な
542,2,bubbly,はしゃいだ. 泡の多い
543,2,bucolic,羊飼いの. 牧歌的な. 田園生活の. 田舎風の. （rural）
544,1,budge,ちょっと動かす. 動く. （人）に意見を変えさせる
545,0,bugger,嫌なやつ･こと. くそっ. ちくしょう
546,0,buggy,虫だらけの. 1頭立ての. 2輪馬車. 自動車. バギー. うば車. （俗）気が狂った. 
547,1,bulldog,ブルドッグ（のような）. 強引な男. （Oxford Cambridge大学の）学生監の巡視者. 牛の角をとらえてひねり倒す
548,0,bulldozer,ブルドーザー. 脅迫者
549,2,bullish,雄牛のような. 頑固な. （株式市場）楽観的な. 強気筋の
550,0,bullock,去勢牛. 去勢雄ウシ. 去性雄ウシ
551,1,bumble,もごもごしゃべる（=mumble）
